tot,count
Lincoln Ave & Sunnyside Ave,4746
Hermitage Ave & Polk St,4728
Ashland Ave & Grand Ave,4708
Broadway & Granville Ave,4697
Dearborn St & Van Buren St,4680
Ashland Ave & Grace St,4647
Campbell Ave & North Ave,4573
Sheridan Rd & Buena Ave,4569
Broadway & Ridge Ave,4562
Lincoln Ave & Belle Plaine Ave,4546
Clark St & Bryn Mawr Ave,4529
Western Ave & Division St,4504
Morgan St & 18th St,4501
Logan Blvd & Elston Ave,4480
Lincoln Ave & Waveland Ave,4470
Artesian Ave & Hubbard St,4441
Greenview Ave & Diversey Pkwy,4412
Racine Ave & Washington Blvd (*),4382
Morgan Ave & 14th Pl,4354
California Ave & Cortez St,4340
Lake Park Ave & 53rd St,4338
Clark St & Montrose Ave,4316
Ellis Ave & 53rd St,4313
Damen Ave & Charleston St,4310
Clark St & 9th St (AMLI),4309
Winthrop Ave & Lawrence Ave,4272
Calumet Ave & 21st St,4237
Woodlawn Ave & 55th St,4194
Loomis St & Jackson Blvd,4193
Lincoln Park Conservatory,4124
Ashland Ave & Wellington Ave,4122
Wood St & Hubbard St,4097
Buckingham Fountain (Temp),4080
Throop (Loomis) St & Taylor St,4072
Elizabeth (May) St & Fulton St,4045
Sheridan Rd & Loyola Ave,4027
Larrabee St & North Ave,4024
Humboldt Blvd & Armitage Ave,3989
Leavitt St & Chicago Ave,3909
Sedgwick St & Schiller St,3905
Albany Ave & Bloomingdale Ave,3857
Kedzie Ave & Palmer Ct,3848
Leavitt St & Armitage Ave,3817
Paulina St & 18th St,3815
Damen Ave & Clybourn Ave,3796
Damen Ave & Foster Ave,3773
Seeley Ave & Roscoe St,3760
Sheridan Rd & Lawrence Ave,3735
Ashland Ave & Lake St,3709
Spaulding Ave & Armitage Ave,3644
Clarendon Ave & Leland Ave,3620
Emerald Ave & 31st St,3613
Damen Ave & Wellington Ave,3612
Museum of Science and Industry,3604
Milwaukee Ave & Rockwell St,3458
Blackstone Ave & Hyde Park Blvd,3401
California Ave & North Ave,3385
Franklin St & Quincy St,3316
Wabash Ave & Cermak Rd,3292
Claremont Ave & Hirsch St,3230
Walsh Park,3212
Harper Ave & 59th St,3181
Sheridan Rd & Noyes St (NU),3159
Clark St & Lunt Ave,3157
Calumet Ave & 33rd St,3096
Winchester Ave & Elston Ave,3086
Canal St & Harrison St,3069
Orleans St & Elm St,3026
Glenwood Ave & Morse Ave,3008
Indiana Ave & 31st St,2993
Wolcott (Ravenswood) Ave & Montrose Ave,2940
Chicago Ave & Washington St,2936
Western Ave & Fillmore St (*),2921
State St & 19th St,2890
Ravenswood Ave & Berteau Ave,2863
State St & 35th St,2843
Leavitt St & Division St (*),2804
Campbell Ave & Fullerton Ave,2782
Elston Ave & Wabansia Ave,2763
Ashland Ave & Belle Plaine Ave,2739
Talman Ave & Addison St,2708
Western Ave & Roscoe St,2698
Canal St & Monroe St (*),2697
California Ave & Altgeld St,2694
Paulina St & Howard St,2694
Lake Park Ave & 35th St,2693
Lincoln Ave & Addison St,2693
Clinton St & 18th St,2680
Sangamon St & Washington Blvd (*),2649
Southport Ave & Clark St,2649
Orleans St & Hubbard St (*),2616
Drake Ave & Fullerton Ave,2606
Damen Ave & Melrose Ave,2606
Damen Ave & Sunnyside Ave,2602
Stave St & Armitage Ave,2598
California Ave & Francis Pl,2566
Paulina St & Montrose Ave,2560
LaSalle Dr & Huron St (*),2530
Campbell Ave & Montrose Ave,2504
Ashland Ave & 13th St,2482
University Library (NU),2463
Halsted St & 18th St,2457
Clark St & Elmdale Ave,2449
Richmond St & Diversey Ave,2392
Indiana Ave & 26th St,2369
California Ave & Division St,2353
Leavitt St & Lawrence Ave,2328
California Ave & Fletcher St,2307
Wells St & 19th St,2252
Lake Park Ave & 47th St,2238
Damen Ave & Walnut (Lake) St (*),2213
Emerald Ave & 28th St,2152
Central Park Ave & Bloomingdale Ave,2152
Rockwell St & Eastwood Ave,2118
Winchester (Ravenswood) Ave & Balmoral Ave,2113
Kosciuszko Park,2086
Eastlake Ter & Rogers Ave,2086
Financial Pl & Ida B Wells Dr (Temp),2079
California Ave & Montrose Ave,2069
Oakley Ave & Irving Park Rd,2059
Chicago Ave & Sheridan Rd,2050
Fairbanks St & Superior St (*),1998
Damen Ave & Madison St,1986
Damen Ave & Cullerton St,1975
Troy St & Elston Ave,1972
Shields Ave & 31st St,1953
Sheridan Rd & Columbia Ave,1939
Racine Ave & 15th St,1934
