end_station_name,end_lat,end_lng,count
Damen Ave & Madison St,41.8814,-87.6749,1986
Damen Ave & Melrose Ave,41.9406,-87.6785,2606
Damen Ave & Pershing Rd,41.8232,-87.6766,184
Damen Ave & Pierce Ave,41.9094,-87.6777,21308
Damen Ave & Sunnyside Ave,41.9633,-87.6793,2602
Damen Ave & Thomas St (Augusta Blvd),41.9013,-87.6774,6068
Damen Ave & Walnut (Lake) St (*),41.886,-87.677,2213
Damen Ave & Wellington Ave,41.9359,-87.6784,3612
Dayton St & North Ave,41.9106,-87.6494,9956
Dearborn Pkwy & Delaware Pl,41.899,-87.6299,17963
Dearborn St & Adams St,41.8794,-87.6298,11363
Dearborn St & Erie St,41.894,-87.6293,25262
Dearborn St & Monroe St,41.8813,-87.6295,19248
Dearborn St & Van Buren St,41.8763,-87.6292,4680
Delano Ct & Roosevelt Rd,41.8675,-87.6322,5946
Desplaines St & Jackson Blvd,41.8783,-87.6439,13862
Desplaines St & Kinzie St,41.8887,-87.6444,19156
Desplaines St & Randolph St,41.8846,-87.6446,10827
Dodge Ave & Church St,42.0483,-87.6982,858
Dodge Ave & Mulford St,42.0235,-87.6996,379
Dorchester Ave & 49th St,41.8058,-87.5925,817
Dorchester Ave & 63rd St,41.7804,-87.5914,503
Drake Ave & Addison St,41.9473,-87.7176,1463
Drake Ave & Fullerton Ave,41.9244,-87.7154,2606
Drake Ave & Montrose Ave,41.9612,-87.7166,1099
DuSable Museum,41.7916,-87.6079,541
Dusable Harbor,41.887,-87.6128,14595
Eastlake Ter & Rogers Ave,42.0209,-87.6651,2086
Eberhart Ave & 61st St,41.7841,-87.6133,177
Eckhart Park,41.8964,-87.661,6537
Elizabeth (May) St & Fulton St,41.8866,-87.658,4045
Elizabeth St & 47th St,41.8084,-87.6565,100
Elizabeth St & 59th St,41.7867,-87.6559,13
Ellis Ave & 53rd St,41.7993,-87.601,4313
Ellis Ave & 55th St,41.7943,-87.6015,8829
Ellis Ave & 58th St,41.7887,-87.6013,5699
Ellis Ave & 60th St,41.7851,-87.6011,7592
Elmwood Ave & Austin St,42.0258,-87.6841,937
Elston Ave & Wabansia Ave,41.9129,-87.6642,2763
Emerald Ave & 28th St,41.8436,-87.6454,2152
Emerald Ave & 31st St,41.8382,-87.6451,3613
Evans Ave & 75th St,41.7585,-87.6064,102
Evanston Civic Center,42.057,-87.6866,471
Exchange Ave & 79th St,41.7517,-87.5528,59
Fairbanks Ct & Grand Ave,41.8918,-87.6206,20933
Fairbanks St & Superior St,41.8957,-87.6201,4946
Fairfield Ave & Roosevelt Rd,41.8666,-87.6945,375
Federal St & Polk St,41.8721,-87.6295,12334
Field Blvd & South Water St,41.8863,-87.6175,10329
Field Museum,41.8653,-87.6179,7681
Financial Pl & Ida B Wells Dr,41.875,-87.6331,5472
Fort Dearborn Dr & 31st St,41.8386,-87.6082,7773
Francisco Ave & Foster Ave,41.9756,-87.7014,1514
Franklin St & Adams St (Temp),41.8794,-87.6355,6650
