start_station_name,start_lat,start_lng,casual,member
Kimbark Ave & 53rd St,41.7996,-87.5947,1169.0,7412.0
Kingsbury St & Erie St,41.8938,-87.6417,1721.0,17432.0
Kingsbury St & Kinzie St,41.8892,-87.6385,2417.0,30882.0
Knox Ave & Montrose Ave,41.9606,-87.7454,144.0,476.0
Kosciuszko Park,41.9306,-87.7238,261.0,1862.0
Kostner Ave & Adams St,41.8779,-87.7357,7.0,83.0
Kostner Ave & Lake St,41.8859,-87.7354,10.0,11.0
LaSalle Dr & Huron St,41.8949,-87.6323,1693.0,6299.0
LaSalle St & Adams St,41.8793,-87.632,1135.0,5623.0
LaSalle St & Illinois St,41.8908,-87.6317,4103.0,14274.0
LaSalle St & Jackson Blvd,41.8782,-87.6319,2421.0,22849.0
LaSalle St & Washington St,41.8827,-87.6325,1450.0,9894.0
Laflin St & Cullerton St,41.8549,-87.6636,39.0,234.0
Lake Park Ave & 35th St,41.8313,-87.6088,1078.0,1556.0
Lake Park Ave & 47th St,41.8094,-87.5919,830.0,1191.0
Lake Park Ave & 53rd St,41.7995,-87.5865,1402.0,2883.0
Lake Park Ave & 56th St,41.7932,-87.5878,972.0,4563.0
Lake Shore Dr & Belmont Ave,41.9408,-87.6392,5949.0,7932.0
Lake Shore Dr & Diversey Pkwy,41.9326,-87.6364,4775.0,7498.0
Lake Shore Dr & Monroe St,41.881,-87.6167,39685.0,10833.0
Lake Shore Dr & North Blvd,41.9117,-87.6268,19147.0,15835.0
Lake Shore Dr & Ohio St,41.8926,-87.6145,6535.0,8371.0
Lake Shore Dr & Wellington Ave,41.9367,-87.6368,4508.0,8395.0
Lakefront Trail & Bryn Mawr Ave,41.984,-87.6523,4583.0,5345.0
Lakefront Trail & Wilson Ave,41.9658,-87.6454,2507.0,3703.0
Lakeview Ave & Fullerton Pkwy,41.9259,-87.639,5099.0,9653.0
Laramie Ave & Gladys Ave,41.8758,-87.7553,13.0,32.0
Laramie Ave & Kinzie St,41.8878,-87.7555,30.0,42.0
Laramie Ave & Madison St,41.8802,-87.7553,50.0,96.0
Larrabee St & Armitage Ave,41.9181,-87.6437,1583.0,6138.0
Larrabee St & Division St,41.9035,-87.6434,1429.0,8609.0
Larrabee St & Kingsbury St,41.8978,-87.6429,1927.0,21161.0
Larrabee St & Menomonee St,41.9147,-87.6433,503.0,4650.0
Larrabee St & North Ave,41.9102,-87.6435,594.0,3379.0
Larrabee St & Oak St,41.9002,-87.643,773.0,7908.0
Larrabee St & Webster Ave,41.9218,-87.6441,3062.0,10076.0
Latrobe Ave & Chicago Ave,41.8947,-87.7569,23.0,65.0
Leavitt St & Addison St,41.9467,-87.6834,382.0,1301.0
Leavitt St & Archer Ave,41.8288,-87.6806,141.0,303.0
Leavitt St & Armitage Ave,41.9178,-87.6824,688.0,3236.0
Leavitt St & Belmont Ave (*),41.9394,-87.6833,385.0,1342.0
Leavitt St & Chicago Ave,41.8955,-87.682,559.0,3382.0
Leavitt St & Division St (*),41.903,-87.6838,281.0,2454.0
Leavitt St & Lawrence Ave,41.9689,-87.684,360.0,2232.0
Leavitt St & North Ave,41.9102,-87.6823,971.0,4254.0
Lincoln Ave & Addison St,41.9462,-87.6733,352.0,1989.0
Lincoln Ave & Belle Plaine Ave,41.956,-87.6803,750.0,3389.0
Lincoln Ave & Belmont Ave,41.9394,-87.6684,1182.0,5522.0
Lincoln Ave & Diversey Pkwy,41.9322,-87.6586,1501.0,6145.0
Lincoln Ave & Fullerton Ave,41.9259,-87.6493,3006.0,10995.0
Lincoln Ave & Roscoe St,41.9433,-87.671,1263.0,7060.0
Lincoln Ave & Sunnyside Ave,41.963,-87.6848,671.0,3985.0
Lincoln Ave & Waveland Ave,41.9488,-87.6753,563.0,3619.0
Lincoln Ave & Winona St,41.9749,-87.6925,333.0,1271.0
Lincoln Park Conservatory,41.9239,-87.6358,2075.0,1943.0
Lincolnwood Dr & Central St,42.0649,-87.7153,137.0,623.0
Logan Blvd & Elston Ave,41.9295,-87.6842,650.0,3532.0
Loomis St & Archer Ave,41.8416,-87.6574,186.0,1163.0
Loomis St & Jackson Blvd,41.8779,-87.662,481.0,3701.0
Loomis St & Lexington St,41.8722,-87.6615,882.0,12924.0
MLK Jr Dr & 29th St,41.8421,-87.617,747.0,6892.0
MLK Jr Dr & 47th St,41.8099,-87.6163,114.0,273.0
MLK Jr Dr & 56th St,41.7934,-87.6159,55.0,97.0
MLK Jr Dr & 63rd St,41.7801,-87.6159,46.0,82.0
MLK Jr Dr & 83rd St,41.7431,-87.6148,67.0,104.0
MLK Jr Dr & Pershing Rd,41.8246,-87.6168,234.0,819.0
MTL-ECO5.1-01,41.9171,-87.7482,1.0,3.0
Malcolm X College,41.8776,-87.6739,259.0,1257.0
Manor Ave & Leland Ave,41.9659,-87.7008,134.0,1002.0
Maplewood Ave & Peterson Ave,41.9902,-87.6934,95.0,196.0
Marine Dr & Ainslie St,41.9716,-87.6502,1997.0,3272.0
Marshfield Ave & 44th St,41.814,-87.6666,33.0,57.0
Marshfield Ave & 59th St,41.7868,-87.6662,14.0,30.0
Marshfield Ave & Cortland St,41.916,-87.6689,2174.0,12882.0
May St & 69th St,41.7689,-87.6529,10.0,16.0
May St & Cullerton St,41.8551,-87.6541,272.0,1583.0
May St & Taylor St,41.8695,-87.6555,1195.0,6232.0
McClurg Ct & Erie St,41.8945,-87.6179,2926.0,12859.0
McClurg Ct & Illinois St,41.8904,-87.6175,7074.0,13203.0
McCormick Place,41.8514,-87.6188,3679.0,1878.0
Michigan Ave & 14th St,41.8641,-87.6237,1606.0,7334.0
Michigan Ave & 18th St,41.8578,-87.6246,1375.0,8107.0
Michigan Ave & 71st St,41.7653,-87.6217,8.0,5.0
Michigan Ave & 8th St,41.8728,-87.624,9709.0,5434.0
Michigan Ave & Ida B Wells Dr,41.8762,-87.6244,4047.0,4342.0
Michigan Ave & Jackson Blvd,41.8779,-87.6241,7032.0,8641.0
Michigan Ave & Lake St,41.886,-87.6241,5516.0,17324.0
Michigan Ave & Madison St,41.8821,-87.6251,2909.0,8327.0
Michigan Ave & Oak St,41.901,-87.6238,21631.0,14313.0
