end_station_name,end_lat,end_lng,casual,member
Sheridan Rd & Loyola Ave,42.001,-87.6612,1238,2789
Sheridan Rd & Lawrence Ave,41.9695,-87.6547,932,2803
Humboldt Blvd & Armitage Ave,41.9175,-87.7018,1173,2816
Milwaukee Ave & Rockwell St,41.9202,-87.693,634,2824
Lake Park Ave & 53rd St,41.7995,-87.5865,1511,2827
Spaulding Ave & Armitage Ave,41.9171,-87.7102,814,2830
Clark St & Lunt Ave,42.0091,-87.6742,317,2840
Claremont Ave & Hirsch St,41.9078,-87.6859,335,2895
Wentworth Ave & Cermak Rd (Temp),41.853,-87.6306,1897,2966
Damen Ave & Wellington Ave,41.9359,-87.6784,639,2973
Albany Ave & Bloomingdale Ave,41.914,-87.7051,875,2982
Cannon Dr & Fullerton Ave,41.9268,-87.6344,3935,3024
Seeley Ave & Roscoe St,41.9434,-87.6796,734,3026
Leavitt St & Armitage Ave,41.9178,-87.6824,724,3093
Broadway & Granville Ave,41.9948,-87.6603,1581,3116
Damen Ave & Foster Ave,41.9756,-87.6795,648,3125
Paulina St & 18th St,41.8579,-87.6687,677,3138
Damen Ave & Clybourn Ave,41.9319,-87.6779,567,3229
Leavitt St & Chicago Ave,41.8955,-87.682,669,3240
Kedzie Ave & Palmer Ct,41.9215,-87.7073,591,3257
Ashland Ave & Lake St,41.8859,-87.6672,443,3266
Sedgwick St & Schiller St,41.9076,-87.6386,638,3267
Emerald Ave & 31st St,41.8382,-87.6451,333,3280
Winthrop Ave & Lawrence Ave,41.9688,-87.6577,855,3417
Marine Dr & Ainslie St,41.9716,-87.6502,1978,3422
Damen Ave & Charleston St,41.9201,-87.6779,880,3430
Larrabee St & North Ave,41.9102,-87.6435,567,3457
Ashland Ave & Wellington Ave,41.9361,-87.6698,623,3499
Broadway & Thorndale Ave,41.9897,-87.6601,1331,3518
Greenview Ave & Diversey Pkwy,41.9326,-87.6659,891,3521
Woodlawn Ave & 55th St,41.7953,-87.5965,663,3531
California Ave & Cortez St,41.9004,-87.6967,775,3565
Morgan St & 18th St,41.8581,-87.6511,932,3569
Fort Dearborn Dr & 31st St,41.8386,-87.6082,4189,3584
Lakefront Trail & Wilson Ave,41.9658,-87.6454,2710,3588
Western Ave & Division St,41.9029,-87.6873,886,3618
Broadway & Ridge Ave,41.984,-87.6603,930,3632
Wood St & Hubbard St,41.8899,-87.6715,464,3633
Elizabeth (May) St & Fulton St,41.8866,-87.658,407,3638
Clark St & Montrose Ave,41.9616,-87.666,667,3649
Logan Blvd & Elston Ave,41.9295,-87.6842,823,3657
Clark St & 9th St (AMLI),41.8708,-87.6312,649,3660
Loomis St & Jackson Blvd,41.8779,-87.662,509,3684
Throop (Loomis) St & Taylor St,41.869,-87.6591,384,3688
Clark St & Bryn Mawr Ave,41.9836,-87.6692,764,3765
Sheridan Rd & Buena Ave,41.9585,-87.655,799,3770
Lincoln Ave & Belle Plaine Ave,41.956,-87.6803,747,3799
Ellis Ave & 53rd St,41.7993,-87.601,510,3803
Michigan Ave & Ida B Wells Dr,41.8762,-87.6244,4066,3820
Dearborn St & Van Buren St,41.8763,-87.6292,853,3827
