,member_casual_x,date,count,member_casual_y,mean,member_casual,sum
334,casual,2019-06-23,4731,member,895.0673046752431,casual,12550527.0
335,casual,2019-06-23,4731,member,895.0673046752431,member,5705159.0
336,casual,2019-06-24,2771,casual,2774.790328401299,casual,7688944.0
337,casual,2019-06-24,2771,casual,2774.790328401299,member,11304736.0
338,casual,2019-06-24,2771,member,905.9733931719827,casual,7688944.0
339,casual,2019-06-24,2771,member,905.9733931719827,member,11304736.0
340,casual,2019-06-25,5271,casual,2534.155568203377,casual,13357534.0
341,casual,2019-06-25,5271,casual,2534.155568203377,member,14246577.0
342,casual,2019-06-25,5271,member,936.4738710313547,casual,13357534.0
343,casual,2019-06-25,5271,member,936.4738710313547,member,14246577.0
344,casual,2019-06-26,4492,casual,2571.852181656278,casual,11552760.0
345,casual,2019-06-26,4492,casual,2571.852181656278,member,13882773.0
346,casual,2019-06-26,4492,member,902.6510403120936,casual,11552760.0
347,casual,2019-06-26,4492,member,902.6510403120936,member,13882773.0
348,casual,2019-06-27,4256,casual,2655.6120770676694,casual,11302285.0
349,casual,2019-06-27,4256,casual,2655.6120770676694,member,13180074.0
350,casual,2019-06-27,4256,member,885.4006449012495,casual,11302285.0
351,casual,2019-06-27,4256,member,885.4006449012495,member,13180074.0
352,casual,2019-06-28,4651,casual,2533.3562674693612,casual,11782640.0
353,casual,2019-06-28,4651,casual,2533.3562674693612,member,10992494.0
354,casual,2019-06-28,4651,member,828.7465319662243,casual,11782640.0
355,casual,2019-06-28,4651,member,828.7465319662243,member,10992494.0
356,casual,2019-06-29,10939,casual,2774.091598866441,casual,30345788.0
357,casual,2019-06-29,10939,casual,2774.091598866441,member,10392817.0
358,casual,2019-06-29,10939,member,991.7756465311576,casual,30345788.0
359,casual,2019-06-29,10939,member,991.7756465311576,member,10392817.0
360,casual,2019-06-30,6525,casual,2874.457164750958,casual,18755833.0
361,casual,2019-06-30,6525,casual,2874.457164750958,member,7014919.0
362,casual,2019-06-30,6525,member,953.5026505369036,casual,18755833.0
363,casual,2019-06-30,6525,member,953.5026505369036,member,7014919.0
364,casual,2019-07-01,4879,casual,2590.7503586800576,casual,12640271.0
365,casual,2019-07-01,4879,casual,2590.7503586800576,member,12278162.0
366,casual,2019-07-01,4879,member,852.5317317039301,casual,12640271.0
367,casual,2019-07-01,4879,member,852.5317317039301,member,12278162.0
368,casual,2019-07-02,3014,casual,2413.4714664897147,casual,7274203.0
369,casual,2019-07-02,3014,casual,2413.4714664897147,member,11293785.0
370,casual,2019-07-02,3014,member,889.6947376713408,casual,7274203.0
371,casual,2019-07-02,3014,member,889.6947376713408,member,11293785.0
372,casual,2019-07-03,4665,casual,2462.452733118971,casual,11487342.0
373,casual,2019-07-03,4665,casual,2462.452733118971,member,11230736.0
374,casual,2019-07-03,4665,member,833.5735174051807,casual,11487342.0
375,casual,2019-07-03,4665,member,833.5735174051807,member,11230736.0
376,casual,2019-07-04,9396,casual,2813.3865474670074,casual,26434580.0
377,casual,2019-07-04,9396,casual,2813.3865474670074,member,9133948.0
378,casual,2019-07-04,9396,member,1174.3311905374132,casual,26434580.0
379,casual,2019-07-04,9396,member,1174.3311905374132,member,9133948.0
380,casual,2019-07-05,7580,casual,2801.0998680738785,casual,21232337.0
381,casual,2019-07-05,7580,casual,2801.0998680738785,member,8319512.0
382,casual,2019-07-05,7580,member,926.2427076374972,casual,21232337.0
383,casual,2019-07-05,7580,member,926.2427076374972,member,8319512.0
384,casual,2019-07-06,10151,casual,2718.3221357501725,casual,27593688.0
385,casual,2019-07-06,10151,casual,2718.3221357501725,member,8553016.0
386,casual,2019-07-06,10151,member,1026.0335892514395,casual,27593688.0
387,casual,2019-07-06,10151,member,1026.0335892514395,member,8553016.0
388,casual,2019-07-07,5362,casual,1801.4102946661694,casual,9659162.0
389,casual,2019-07-07,5362,casual,1801.4102946661694,member,6478414.0
390,casual,2019-07-07,5362,member,842.118029377356,casual,9659162.0
391,casual,2019-07-07,5362,member,842.118029377356,member,6478414.0
392,casual,2019-07-08,4037,casual,3129.651969284122,casual,12634405.0
393,casual,2019-07-08,4037,casual,3129.651969284122,member,9580488.0
394,casual,2019-07-08,4037,member,926.9047987616099,casual,12634405.0
395,casual,2019-07-08,4037,member,926.9047987616099,member,9580488.0
396,casual,2019-07-09,4412,casual,5097.382366273799,casual,22489651.0
397,casual,2019-07-09,4412,casual,5097.382366273799,member,13241554.0
398,casual,2019-07-09,4412,member,868.0709322145011,casual,22489651.0
399,casual,2019-07-09,4412,member,868.0709322145011,member,13241554.0
400,casual,2019-07-10,3866,casual,6885.281945162959,casual,26618500.0
401,casual,2019-07-10,3866,casual,6885.281945162959,member,11796762.0
402,casual,2019-07-10,3866,member,828.8317290803063,casual,26618500.0
403,casual,2019-07-10,3866,member,828.8317290803063,member,11796762.0
404,casual,2019-07-11,4124,casual,2747.847720659554,casual,11332124.0
405,casual,2019-07-11,4124,casual,2747.847720659554,member,12559048.0
406,casual,2019-07-11,4124,member,860.2087671232877,casual,11332124.0
407,casual,2019-07-11,4124,member,860.2087671232877,member,12559048.0
408,casual,2019-07-12,6174,casual,7226.251052802073,casual,44614874.0
409,casual,2019-07-12,6174,casual,7226.251052802073,member,12970163.0
410,casual,2019-07-12,6174,member,882.5641671203049,casual,44614874.0
411,casual,2019-07-12,6174,member,882.5641671203049,member,12970163.0
412,casual,2019-07-13,10238,casual,2953.6367454580973,casual,30239333.0
413,casual,2019-07-13,10238,casual,2953.6367454580973,member,14059658.0
414,casual,2019-07-13,10238,member,1360.2610294117646,casual,30239333.0
415,casual,2019-07-13,10238,member,1360.2610294117646,member,14059658.0
416,casual,2019-07-14,9612,casual,3056.4976071577194,casual,29379055.0
417,casual,2019-07-14,9612,casual,3056.4976071577194,member,10294912.0
418,casual,2019-07-14,9612,member,1028.1545990212724,casual,29379055.0
419,casual,2019-07-14,9612,member,1028.1545990212724,member,10294912.0
420,casual,2019-07-15,4259,casual,6625.892932613289,casual,28219678.0
421,casual,2019-07-15,4259,casual,6625.892932613289,member,12475096.0
422,casual,2019-07-15,4259,member,884.1942022822312,casual,28219678.0
423,casual,2019-07-15,4259,member,884.1942022822312,member,12475096.0
424,casual,2019-07-16,2982,casual,6320.943326626425,casual,18849053.0
425,casual,2019-07-16,2982,casual,6320.943326626425,member,20386101.0
426,casual,2019-07-16,2982,member,1550.1559577218463,casual,18849053.0
427,casual,2019-07-16,2982,member,1550.1559577218463,member,20386101.0
428,casual,2019-07-17,3723,casual,2359.94762288477,casual,8786085.0
429,casual,2019-07-17,3723,casual,2359.94762288477,member,11622896.0
430,casual,2019-07-17,3723,member,816.0999859570285,casual,8786085.0
431,casual,2019-07-17,3723,member,816.0999859570285,member,11622896.0
432,casual,2019-07-18,2780,casual,3534.5496402877698,casual,9826048.0
433,casual,2019-07-18,2780,casual,3534.5496402877698,member,8771423.0
434,casual,2019-07-18,2780,member,867.1698467622343,casual,9826048.0
435,casual,2019-07-18,2780,member,867.1698467622343,member,8771423.0
