station_name,count
State St & 19th St,5596
State St & 35th St,5565
Ashland Ave & Belle Plaine Ave,5541
Leavitt St & Division St (*),5539
Sangamon St & Washington Blvd (*),5452
Elston Ave & Wabansia Ave,5418
Southport Ave & Clark St,5403
Campbell Ave & Fullerton Ave,5351
Lake Park Ave & 35th St,5327
Western Ave & Roscoe St,5319
Clinton St & 18th St,5292
Orleans St & Hubbard St (*),5255
California Ave & Altgeld St,5239
Paulina St & Howard St,5226
LaSalle Dr & Huron St (*),5223
Stave St & Armitage Ave,5175
Paulina St & Montrose Ave,5132
California Ave & Francis Pl,5129
Talman Ave & Addison St,5120
Damen Ave & Sunnyside Ave,5050
Lincoln Ave & Addison St,5034
Damen Ave & Melrose Ave,5011
Drake Ave & Fullerton Ave,4984
Campbell Ave & Montrose Ave,4946
Leavitt St & Lawrence Ave,4920
University Library (NU),4900
Clark St & Elmdale Ave,4847
Indiana Ave & 26th St,4790
Halsted St & 18th St,4772
Richmond St & Diversey Ave,4716
Ashland Ave & 13th St,4571
California Ave & Division St,4537
Wells St & 19th St,4450
Financial Pl & Ida B Wells Dr (Temp),4400
Emerald Ave & 28th St,4285
Eastlake Ter & Rogers Ave,4268
Lake Park Ave & 47th St,4259
Central Park Ave & Bloomingdale Ave,4219
Kosciuszko Park,4209
Damen Ave & Walnut (Lake) St (*),4113
Damen Ave & Madison St,4109
California Ave & Fletcher St,4074
Fairbanks St & Superior St (*),4052
Chicago Ave & Sheridan Rd,4037
Winchester (Ravenswood) Ave & Balmoral Ave,4013
Rockwell St & Eastwood Ave,3950
Shields Ave & 31st St,3944
California Ave & Montrose Ave,3935
Troy St & Elston Ave,3908
Rhodes Ave & 32nd St,3895
Halsted St & Archer Ave,3860
Oakley Ave & Irving Park Rd,3858
Washtenaw Ave & Lawrence Ave,3786
Chicago Ave & Dempster St,3760
May St & Cullerton St,3753
Damen Ave & Cullerton St,3751
Morgan St & 31st St,3750
Sheridan Rd & Columbia Ave,3747
Western Ave & Congress Pkwy,3739
Racine Ave (May St) & Fulton St,3739
Racine Ave & 15th St,3735
Greenview Ave & Jarvis Ave,3703
Dearborn St & Van Buren St (*),3655
Leavitt St & Belmont Ave (*),3621
Western Ave & Monroe St,3594
Halsted St & North Branch St,3563
Avondale Ave & Irving Park Rd,3546
Leavitt St & Addison St,3458
Wentworth Ave & 35th St,3444
Hoyne Ave & Balmoral Ave,3406
Lincoln Ave & Winona St,3383
Kimball Ave & Belmont Ave,3282
Troy St & North Ave,3220
Sheridan Rd & Greenleaf Ave,3194
Ogden Ave & Roosevelt Rd,3117
Drake Ave & Addison St,3097
Central St Metra,3077
Ashland Ave & Lake St (Temp),3074
Loomis St & Taylor St (*),3052
Central Park Ave & Elbridge Ave,3049
Francisco Ave & Foster Ave,3016
Halsted St & 21st St,3016
Clark St & Schreiber Ave,2999
Wentworth Ave & 33rd St,2982
Greenwood Ave & 47th St,2978
Malcolm X College,2890
Clark St & Columbia Ave,2882
Ogden Ave & Congress Pkwy,2876
Orleans St & Elm St (*),2820
Clinton St & Polk St,2776
Woodlawn Ave & Lake Park Ave,2705
Loomis St & Archer Ave,2696
Kedzie Ave & Leland Ave,2664
Prairie Ave & Garfield Blvd,2661
Western Ave & Lunt Ave,2628
Western Ave & 21st St,2621
Christiana Ave & Lawrence Ave,2523
Wallace St & 35th St,2485
Avers Ave & Belmont Ave,2442
California Ave & Byron St,2429
Manor Ave & Leland Ave,2422
Ashland Ave & 21st St,2420
63rd St Beach,2370
Normal Ave & Archer Ave,2361
Wentworth Ave & 24th St (Temp),2335
Smith Park (*),2257
Central Park Ave & North Ave,2234
Albany Ave & Montrose Ave,2211
Wolcott (Ravenswood) Ave & Montrose Ave (*),2179
Racine Ave & 13th St,2179
Glenwood Ave & Touhy Ave,2175
Central St & Girard Ave,2165
MLK Jr Dr & Pershing Rd,2140
Monticello Ave & Irving Park Rd,2130
Calumet Ave & 35th St,2101
Drake Ave & Montrose Ave,2100
Shields Ave & 28th Pl,2029
Sawyer Ave & Irving Park Rd,1997
Cottage Grove Ave & 47th St,1948
Kedzie Ave & Foster Ave,1930
California Ave & 21st St,1920
Elmwood Ave & Austin St,1898
South Shore Dr & 71st St,1885
Spaulding Ave & Division St,1875
Cottage Grove Ave & 51st St,1837
Dodge Ave & Church St,1836
Halsted St & 35th St,1803
Warren Park East,1793
Western Ave & Granville Ave,1770
California Ave & 23rd Pl,1763
Cottage Grove Ave & Oakwood Blvd,1739
Keystone Ave & Fullerton Ave,1734
California Ave & Francis Pl (Temp),1729
Kedzie Ave & Lake St,1701
Clinton St & Polk St (*),1685
Washtenaw Ave & Ogden Ave,1676
Lincolnwood Dr & Central St,1662
Cottage Grove Ave & 43rd St,1641
Racine Ave & 35th St,1610
Ridge Blvd & Touhy Ave,1605
Warren Park West,1602
Kedzie Ave & Chicago Ave,1574
California Ave & Lake St,1570
Western Ave & Howard St,1566
Conservatory Dr & Lake St,1560
Dorchester Ave & 49th St,1558
Halsted St & 37th St,1531
Cherry Ave & Blackhawk St,1516
Prairie Ave & 43rd St,1468
St. Louis Ave & Balmoral Ave,1462
Pulaski Rd & Eddy St (Temp),1445
Kilbourn Ave & Milwaukee Ave,1431
Clark St & Jarvis Ave,1407
State St & 29th St,1385
South Shore Dr & 67th St,1373
Calumet Ave & 51st St,1369
Kedzie Ave & Bryn Mawr Ave,1339
Bernard St & Elston Ave,1338
Keystone Ave & Montrose Ave,1235
Knox Ave & Montrose Ave,1209
Western Ave & 24th St,1169
Ashland Ave & Archer Ave,1163
Ashland Ave & McDowell Ave,1140
DuSable Museum,1133
Milwaukee Ave & Cuyler Ave,1133
Sacramento Blvd & Franklin Blvd,1124
2112 W Peterson Ave,1113
Valli Produce - Evanston Plaza,1063
Kilbourn Ave & Irving Park Rd,1036
Leavitt St & Archer Ave,1034
Budlong Woods Library,1029
Princeton Ave & Garfield Blvd,1002
Ridge Blvd & Howard St,999
Archer (Damen) Ave & 37th St,989
Dorchester Ave & 63rd St,980
Oakley Ave & Touhy Ave,931
Evanston Civic Center,929
Wentworth Ave & 24th St,922
Bosworth Ave & Howard St,922
Clark St & Touhy Ave,890
Austin Blvd & Lake St,862
Cottage Grove Ave & 63rd St,854
Kildare Ave & Montrose Ave,849
Kedzie Ave & 21st St,814
MLK Jr Dr & 47th St,794
Wood St & 35th St,780
Ashland Ave & Pershing Rd,774
Fairfield Ave & Roosevelt Rd,759
Indiana Ave & 40th St,757
Dodge Ave & Mulford St,732
Jeffery Blvd & 67th St,731
Maplewood Ave & Peterson Ave,706
Halsted St & 35th St (*),645
South Shore Dr & 74th St,633
Racine Ave & Garfield Blvd,623
Washtenaw Ave & Ogden Ave (*),618
Laflin St & Cullerton St,586
Union Ave & Root St,581
Damen Ave & Coulter St,534
Stony Island Ave & 71st St,534
Wolcott Ave & Fargo Ave,522
Princeton Ave & 47th St,520
Jeffery Blvd & 71st St,495
Halsted St & 47th Pl,490
Western Blvd & 48th Pl,476
Stony Island Ave & 64th St,471
Central Park Ave & Ogden Ave,466
Kedzie Ave & Roosevelt Rd,464
Cornell Dr & Hayes Dr,453
State St & 79th St,447
Hoyne Ave & 47th St,445
State St & Pershing Rd,439
Albany Ave & 26th St,436
Stony Island Ave & 67th St,435
Western Ave & 28th St,435
Central Ave & Chicago Ave,425
Millard Ave & 26th St,396
MLK Jr Dr & 83rd St,348
Kedzie Ave & Harrison St,346
Halsted St & 63rd St,345
Eberhart Ave & 61st St,344
Damen Ave & Pershing Rd,340
Rainbow Beach,326
Austin Blvd & Madison St,325
Austin Blvd & Chicago Ave,321
Vernon Ave & 75th St,320
California Ave & 26th St,311
Ashland Ave & Garfield Blvd,288
Stony Island Ave & 75th St,287
Wabash Ave & 87th St,275
Laramie Ave & Madison St,271
Greenwood Ave & 79th St,270
Cottage Grove Ave & 67th St,266
Central Ave & Madison St,265
MLK Jr Dr & 63rd St,263
MLK Jr Dr & 56th St,261
Pulaski Rd & Congress Pkwy,260
Morgan St & Pershing Rd,251
Wentworth Ave & 63rd St,250
Karlov Ave & Madison St,249
Archer (Damen) Ave & 37th St (*),246
Jeffery Blvd & 76th St,245
Pulaski Rd & Lake St,243
Yates Blvd & 75th St,237
Ashland Ave & 50th St,222
Cottage Grove Ave & 83rd St,219
Central Ave & Lake St,219
Kedzie Ave & 24th St,218
Perry Ave & 69th St,216
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),206
Marshfield Ave & 44th St,201
Kostner Ave & Adams St,200
Latrobe Ave & Chicago Ave,199
Central Park Blvd & 5th Ave,193
Cicero Ave & Lake St,190
State St & 54th St,178
Elizabeth St & 47th St,175
Central Ave & Harrison St,169
Halsted St & 69th St,163
Phillips Ave & 83rd St,161
Evans Ave & 75th St,158
Central Park Ave & 24th St,156
Ashland Ave & 63rd St,154
Cottage Grove Ave & 78th St,147
Halsted St & 56th St,146
Laramie Ave & Kinzie St,145
Vernon Ave & 79th St,142
Commercial Ave & 83rd St,136
Stony Island Ave & 82nd St,133
State St & 76th St,129
Phillips Ave & 79th St,128
Damen Ave & 51st St,122
MLK Jr Dr & 56th St (*),115
Ellis Ave & 83rd St,114
Cicero Ave & Quincy St,114
Ashland Ave & 69th St,105
Exchange Ave & 79th St,100
Laramie Ave & Gladys Ave,96
DIVVY Map Frame B/C Station,94
Woodlawn Ave & 75th St,94
Cottage Grove Ave & 71st St,93
Ashland Ave & 66th St,90
Stewart Ave & 63rd St (*),89
Kenton Ave & Madison St,88
Throop St & 52nd St,86
Bennett Ave & 79th St,86
Marshfield Ave & 59th St,82
Wabash Ave & 83rd St,78
Eggleston Ave & 69th St (*),74
Halsted St & 59th St,68
Calumet Ave & 71st St,67
South Chicago Ave & 83rd St,65
Shields Ave & 43rd St,65
Stony Island Ave & South Chicago Ave,62
Halsted St & 51st St,61
Cicero Ave & Flournoy St,55
Damen Ave & 59th St,50
Seeley Ave & Garfield Blvd,49
Vincennes Ave & 75th St,47
May St & 69th St,45
Kostner Ave & Lake St,40
Rhodes Ave & 71st St,38
Carpenter St & 63rd St,35
Michigan Ave & 71st St,29
Racine Ave & 65th St,25
Elizabeth St & 59th St,23
South Chicago Ave & Elliot Ave,20
Racine Ave & 61st St,17
HQ QR,10
MTL-ECO5.1-01,8
DIVVY CASSETTE REPAIR MOBILE STATION,6
LBS - BBB La Magie,2
Special Events,2
TS ~ DIVVY PARTS TESTING,2
