start_station_name,start_lat,start_lng,member_casual,count
Cannon Dr & Fullerton Ave,41.9268,-87.6344,casual,3644
Cannon Dr & Fullerton Ave,41.9268,-87.6344,member,2602
Carpenter St & 63rd St,41.7799,-87.6509,casual,8
Carpenter St & 63rd St,41.7799,-87.6509,member,6
Carpenter St & Huron St,41.8946,-87.6534,casual,983
Carpenter St & Huron St,41.8946,-87.6534,member,6364
Central Ave & Chicago Ave,41.895,-87.7649,casual,55
Central Ave & Chicago Ave,41.895,-87.7649,member,155
Central Ave & Harrison St,41.873,-87.7645,casual,51
Central Ave & Harrison St,41.873,-87.7645,member,26
Central Ave & Lake St,41.8877,-87.7655,casual,53
Central Ave & Lake St,41.8877,-87.7655,member,52
Central Ave & Madison St,41.8801,-87.7632,casual,41
Central Ave & Madison St,41.8801,-87.7632,member,97
Central Park Ave & 24th St,41.8481,-87.7151,casual,45
Central Park Ave & 24th St,41.8481,-87.7151,member,20
Central Park Ave & Bloomingdale Ave,41.9142,-87.7168,casual,1069
Central Park Ave & Bloomingdale Ave,41.9142,-87.7168,member,998
Central Park Ave & Elbridge Ave,41.9353,-87.7169,casual,265
Central Park Ave & Elbridge Ave,41.9353,-87.7169,member,1261
Central Park Ave & North Ave,41.9097,-87.7166,casual,268
Central Park Ave & North Ave,41.9097,-87.7166,member,835
Central Park Ave & Ogden Ave,41.8542,-87.7154,casual,95
Central Park Ave & Ogden Ave,41.8542,-87.7154,member,148
Central Park Blvd & 5th Ave,41.8757,-87.7155,casual,35
Central Park Blvd & 5th Ave,41.8757,-87.7155,member,53
Central St & Girard Ave,42.0643,-87.6862,casual,173
Central St & Girard Ave,42.0643,-87.6862,member,954
Central St Metra,42.0636,-87.6987,casual,253
Central St Metra,42.0636,-87.6987,member,1231
Cherry Ave & Blackhawk St,41.9072,-87.6556,casual,148
Cherry Ave & Blackhawk St,41.9072,-87.6556,member,580
Chicago Ave & Dempster St,42.0417,-87.6807,casual,457
Chicago Ave & Dempster St,42.0417,-87.6807,member,1411
Chicago Ave & Sheridan Rd,42.0505,-87.6778,casual,687
Chicago Ave & Sheridan Rd,42.0505,-87.6778,member,1300
Chicago Ave & Washington St,42.0326,-87.6791,casual,474
Chicago Ave & Washington St,42.0326,-87.6791,member,2278
Christiana Ave & Lawrence Ave,41.9684,-87.7118,casual,272
Christiana Ave & Lawrence Ave,41.9684,-87.7118,member,896
Cicero Ave & Flournoy St,41.8721,-87.7466,casual,10
Cicero Ave & Flournoy St,41.8721,-87.7466,member,20
Cicero Ave & Lake St,41.8868,-87.7453,casual,30
Cicero Ave & Lake St,41.8868,-87.7453,member,60
Cicero Ave & Quincy St,41.8776,-87.7454,casual,35
Cicero Ave & Quincy St,41.8776,-87.7454,member,20
Cityfront Plaza Dr & Pioneer Ct,41.8906,-87.6221,casual,4027
Cityfront Plaza Dr & Pioneer Ct,41.8906,-87.6221,member,10870
Claremont Ave & Hirsch St,41.9078,-87.6859,casual,333
Claremont Ave & Hirsch St,41.9078,-87.6859,member,3002
Clarendon Ave & Gordon Ter,41.9579,-87.6495,casual,1650
Clarendon Ave & Gordon Ter,41.9579,-87.6495,member,6194
Clarendon Ave & Junior Ter,41.961,-87.6496,casual,1596
Clarendon Ave & Junior Ter,41.961,-87.6496,member,3748
Clarendon Ave & Leland Ave,41.968,-87.65,casual,890
Clarendon Ave & Leland Ave,41.968,-87.65,member,2590
Clark St & 9th St (AMLI),41.8708,-87.6312,casual,772
Clark St & 9th St (AMLI),41.8708,-87.6312,member,3763
Clark St & Armitage Ave,41.9183,-87.6363,casual,6703
Clark St & Armitage Ave,41.9183,-87.6363,member,15194
Clark St & Berwyn Ave,41.978,-87.668,casual,1445
Clark St & Berwyn Ave,41.978,-87.668,member,5562
Clark St & Bryn Mawr Ave,41.9836,-87.6692,casual,670
Clark St & Bryn Mawr Ave,41.9836,-87.6692,member,3497
Clark St & Chicago Ave,41.8968,-87.6309,casual,1935
Clark St & Chicago Ave,41.8968,-87.6309,member,8539
Clark St & Columbia Ave,42.0045,-87.6724,casual,144
Clark St & Columbia Ave,42.0045,-87.6724,member,1319
Clark St & Drummond Pl,41.9312,-87.6443,casual,3125
Clark St & Drummond Pl,41.9312,-87.6443,member,10085
Clark St & Elm St,41.903,-87.6313,casual,4290
Clark St & Elm St,41.903,-87.6313,member,22164
Clark St & Elmdale Ave,41.9905,-87.6698,casual,390
Clark St & Elmdale Ave,41.9905,-87.6698,member,2008
Clark St & Grace St,41.9508,-87.6592,casual,2334
Clark St & Grace St,41.9508,-87.6592,member,5706
Clark St & Ida B Wells Dr,41.8759,-87.6306,casual,960
Clark St & Ida B Wells Dr,41.8759,-87.6306,member,11057
Clark St & Jarvis Ave,42.016,-87.675,casual,140
Clark St & Jarvis Ave,42.016,-87.675,member,583
Clark St & Lake St,41.886,-87.6309,casual,2342
Clark St & Lake St,41.886,-87.6309,member,13497
Clark St & Leland Ave,41.9671,-87.6674,casual,715
Clark St & Leland Ave,41.9671,-87.6674,member,4838
Clark St & Lincoln Ave,41.9157,-87.6346,casual,6808
Clark St & Lincoln Ave,41.9157,-87.6346,member,13130
Clark St & Lunt Ave,42.0091,-87.6742,casual,373
Clark St & Lunt Ave,42.0091,-87.6742,member,2493
Clark St & Montrose Ave,41.9616,-87.666,casual,583
Clark St & Montrose Ave,41.9616,-87.666,member,3895
Clark St & Newport St,41.9445,-87.6547,casual,2850
Clark St & Newport St,41.9445,-87.6547,member,6380
Clark St & North Ave,41.912,-87.6319,casual,3656
Clark St & North Ave,41.912,-87.6319,member,5870
Clark St & Randolph St,41.8846,-87.6319,casual,2368
Clark St & Randolph St,41.8846,-87.6319,member,13638
Clark St & Schiller St,41.908,-87.6315,casual,2447
Clark St & Schiller St,41.908,-87.6315,member,11568
Clark St & Schreiber Ave,41.9993,-87.6714,casual,286
Clark St & Schreiber Ave,41.9993,-87.6714,member,1163
Clark St & Touhy Ave,42.0126,-87.6744,casual,51
Clark St & Touhy Ave,42.0126,-87.6744,member,386
Clark St & Wellington Ave,41.9365,-87.6475,casual,2124
Clark St & Wellington Ave,41.9365,-87.6475,member,9317
Clark St & Winnemac Ave,41.9733,-87.6678,casual,1234
Clark St & Winnemac Ave,41.9733,-87.6678,member,6849
